# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cpu/cycles/Pu'
# Event count (approx.): 117342576092
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .........  ....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  test_ails  test_ails             [.] operator new(unsigned long)@plt
     0.02%  test_ails  libstdc++.so.6.0.34   [.] free@plt
     0.02%  test_ails  libstdc++.so.6.0.34   [.] operator delete(void*, unsigned long)
     0.02%  test_ails  test_ails             [.] readInstance(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.02%  test_ails  libc.so.6             [.] __memmove_avx_unaligned_erms
     0.01%  test_ails  test_ails             [.] std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [clone .isra.0]
     0.01%  test_ails  libstdc++.so.6.0.34   [.] std::istream::sentry::sentry(std::istream&, bool)
     0.01%  test_ails  test_ails             [.] void std::shuffle<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
     0.01%  test_ails  libstdc++.so.6.0.34   [.] std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
     0.01%  test_ails  libstdc++.so.6.0.34   [.] std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
     0.01%  test_ails  test_ails             [.] LocalSearch::ejection()
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::__use_cache<std::__numpunct_cache<char> >::operator()(std::locale const&) const [clone .isra.0]
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::istream::operator>>(int&)
     0.00%  test_ails  test_ails             [.] BPPCSolution::~BPPCSolution()
     0.00%  test_ails  test_ails             [.] memcpy@plt
     0.00%  test_ails  test_ails             [.] BPPCSolution::deltaAddMultiple(std::vector<int, std::allocator<int> > const&, int, int, int, int) const
     0.00%  test_ails  test_ails             [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::erase(int const&) [clone .isra.0]
     0.00%  test_ails  test_ails             [.] std::vector<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >, std::allocator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > >::~vector()
     0.00%  test_ails  test_ails             [.] std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<int const&>(int const&) [clone .isra.0]
     0.00%  test_ails  libc.so.6             [.] systrim.constprop.0
     0.00%  test_ails  test_ails             [.] SolutionBuilder::randomFeasible()
     0.00%  test_ails  test_ails             [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
     0.00%  test_ails  test_ails             [.] unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long>::param_type const&) [clone .isra.0]
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::locale::id::_M_id() const
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
     0.00%  test_ails  test_ails             [.] void std::vector<int, std::allocator<int> >::_M_realloc_append<int const&>(int const&)
     0.00%  test_ails  test_ails             [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::basic_filebuf<char, std::char_traits<char> >::_M_allocate_internal_buffer()@plt
     0.00%  test_ails  test_ails             [.] void std::__adjust_heap<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, long, std::pair<int, int>, __gnu_cxx::__ops::_Iter_comp_iter<LocalSearch::ejection()::{lambda(std::pair<int, int> const&, std::pair<int, int> const&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, long, long, std::pair<int, int>, __gnu_cxx::__ops::_Iter_comp_iter<LocalSearch::ejection()::{lambda(std::pair<int, int> const&, std::pair<int, int> const&)#1}>) [clone .isra.0]
     0.00%  test_ails  test_ails             [.] QRVND::applyOrder(std::vector<int, std::allocator<int> > const&)
     0.00%  test_ails  test_ails             [.] memmove@plt
     0.00%  test_ails  test_ails             [.] BPPCSolution::removeItemFromBin(int, int)
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
     0.00%  test_ails  libstdc++.so.6.0.34   [.] std::locale::id::_M_id() const@plt
     0.00%  test_ails  test_ails             [.] std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@plt
