".ID.","K1","K2","K3","max_it","max_no_imp","acceptance","improvement","use_ucb","builder","use_qrvnd","c","beta","alpha","gamma","epsilon",".PARENT.",".RANK.",".WEIGHT."
1298,226,423,250,384,22,"BEST","BI",1,"RANDOM",1,0.5718,NA,0.1495,0.7455,0.0377,962,316,0.333333333333333
1737,218,425,224,375,23,"BEST","BI",1,"RANDOM",1,0.6249,NA,0.1001,0.736,0.0927,1298,317,0.266666666666667
1620,189,498,283,337,23,"BEST","BI",1,"RANDOM",1,0.6066,NA,0.0546,0.7234,0.0123,1298,318.5,0.2
1682,196,442,273,419,24,"BEST","BI",1,"RANDOM",1,0.4587,NA,0.2177,0.6293,0.0103,1298,319.5,0.133333333333333
1723,234,492,292,349,24,"BEST","BI",1,"RANDOM",1,0.6046,NA,0.0776,0.7258,0.0105,1620,321,0.0666666666666667
